userID	movieID	rating	date_day	date_month	date_year	date_hour	date_minute	date_second	date_combined
78	111	4.0	16	4	2007	2	25	10	2007-04-16
78	5445	3.0	16	4	2007	5	0	17	2007-04-16
78	6502	4.0	16	4	2007	4	58	52	2007-04-16
78	27904	4.0	16	4	2007	4	58	43	2007-04-16
78	34405	4.5	16	4	2007	2	26	2	2007-04-16
78	37729	4.0	16	4	2007	5	4	56	2007-04-16
78	44191	5.0	22	4	2007	8	35	26	2007-04-22
78	44694	2.0	19	5	2007	6	51	41	2007-05-19
78	46578	5.0	16	4	2007	2	32	25	2007-04-16
78	46976	4.5	16	4	2007	2	29	47	2007-04-16
78	48774	4.5	16	4	2007	2	30	18	2007-04-16
78	49272	3.0	16	4	2007	2	30	48	2007-04-16
78	50872	4.5	2	9	2007	8	9	40	2007-09-02
127	7293	3.0	19	9	2007	21	58	16	2007-09-19
127	45720	4.5	28	8	2007	3	51	41	2007-08-28
127	48385	2.5	28	8	2007	3	41	12	2007-08-28
127	51662	4.5	28	8	2007	3	48	41	2007-08-28
127	54286	3.5	28	8	2007	3	47	42	2007-08-28
170	1222	5.0	1	6	2007	13	56	4	2007-06-01
170	2542	4.0	1	6	2007	13	56	25	2007-06-01
170	3949	4.5	1	6	2007	13	56	8	2007-06-01
170	4011	4.0	1	6	2007	13	56	13	2007-06-01
170	6807	4.0	1	6	2007	14	3	34	2007-06-01
170	8622	4.0	1	6	2007	14	0	42	2007-06-01
170	8874	4.0	1	6	2007	13	57	28	2007-06-01
170	44191	4.0	1	6	2007	13	57	42	2007-06-01
170	45728	5.0	1	6	2007	13	59	49	2007-06-01
175	1690	1.0	19	8	2007	19	7	18	2007-08-19
175	3147	5.0	19	8	2007	19	6	20	2007-08-19
175	5418	5.0	19	8	2007	19	7	51	2007-08-19
175	5995	5.0	19	8	2007	19	10	22	2007-08-19
175	8665	5.0	19	8	2007	19	7	55	2007-08-19
175	50068	4.0	19	8	2007	19	12	24	2007-08-19
